00000	00377
11D93	11D98
11DA0	11DA9
11EE0	11EF8
11F00	11F10
11F12	11F3A
11F3E	11F5A
11FB0	11FB0
11FC0	11FF1
11FFF	12399
12400	1246E
12470	12474
12480	12543
12F90	12FF2
13000	13455
13460	143FA
14400	14646
16100	16139
16800	16A38
16A40	16A5E
16A60	16A69
16A6E	16ABE
16AC0	16AC9
16AD0	16AED
16AF0	16AF5
16B00	16B45
16B50	16B59
16B5B	16B61
16B63	16B77
16B7D	16B8F
16D40	16D79
16E40	16E9A
16F00	16F4A
16F4F	16F87
16F8F	16F9F
16FE0	16FE4
16FF0	16FF1
17000	187F7
18800	18CD5
18CFF	18D08
1AFF0	1AFF3
1AFF5	1AFFB
1AFFD	1AFFE
1B000	1B122
1B132	1B132
1B150	1B152
1B155	1B155
1B164	1B167
1B170	1B2FB
1BC00	1BC6A
1BC70	1BC7C
1BC80	1BC88
1BC90	1BC99
1BC9C	1BCA3
1CC00	1CCF9
1CD00	1CEB3
1CF00	1CF2D
1CF30	1CF46
1CF50	1CFC3
1D000	1D0F5
1D100	1D126
1D129	1D1EA
1D200	1D245
1D2C0	1D2D3
1D2E0	1D2F3
1D300	1D356
1D360	1D378
1D400	1D454
1D456	1D49C
1D49E	1D49F
1D4A2	1D4A2
1D4A5	1D4A6
1D4A9	1D4AC
1D4AE	1D4B9
1D4BB	1D4BB
1D4BD	1D4C3
1D4C5	1D505
1D507	1D50A
1D50D	1D514
1D516	1D51C
1D51E	1D539
1D53B	1D53E
1D540	1D544
1D546	1D546
1D54A	1D550
1D552	1D6A5
1D6A8	1D7CB
1D7CE	1DA8B
1DA9B	1DA9F
1DAA1	1DAAF
1DF00	1DF1E
1DF25	1DF2A
1E000	1E006
1E008	1E018
1E01B	1E021
1E023	1E024
1E026	1E02A
1E030	1E06D
1E08F	1E08F
1E100	1E12C
1E130	1E13D
1E140	1E149
1E14E	1E14F
1E290	1E2AE
1E2C0	1E2F9
1E2FF	1E2FF
1E4D0	1E4F9
1E5D0	1E5FA
1E5FF	1E5FF
1E7E0	1E7E6
1E7E8	1E7EB
1E7ED	1E7EE
1E7F0	1E7FE
1E800	1E8C4
1E8C7	1E8D6
1E900	1E94B
1E950	1E959
1E95E	1E95F
1EC71	1ECB4
1ED01	1ED3D
1EE00	1EE03
1EE05	1EE1F
1EE21	1EE22
1EE24	1EE24
1EE27	1EE27
1EE29	1EE32
1EE34	1EE37
1EE39	1EE39
1EE3B	1EE3B
1EE42	1EE42
1EE47	1EE47
1EE49	1EE49
1EE4B	1EE4B
1EE4D	1EE4F
1EE51	1EE52
1EE54	1EE54
1EE57	1EE57
1EE59	1EE59
1EE5B	1EE5B
1EE5D	1EE5D
1EE5F	1EE5F
1EE61	1EE62
1EE64	1EE64
1EE67	1EE6A
1EE6C	1EE72
1EE74	1EE77
1EE79	1EE7C
1EE7E	1EE7E
1EE80	1EE89
1EE8B	1EE9B
1EEA1	1EEA3
1EEA5	1EEA9
1EEAB	1EEBB
1EEF0	1EEF1
1F000	1F02B
1F030	1F093
1F0A0	1F0AE
1F0B1	1F0BF
1F0C1	1F0CF
1F0D1	1F0F5
1F100	1F1AD
1F1E6	1F202
1F210	1F23B
1F240	1F248
1F250	1F251
1F260	1F265
1F300	1F6D7
1F6DC	1F6EC
1F6F0	1F6FC
1F700	1F776
1F77B	1F7D9
1F7E0	1F7EB
1F7F0	1F7F0
1F800	1F80B
1F810	1F847
1F850	1F859
1F860	1F887
1F890	1F8AD
1F8B0	1F8BB
1F8C0	1F8C1
1F900	1FA53
1FA60	1FA6D
1FA70	1FA7C
1FA80	1FA89
1FA8F	1FAC6
1FACE	1FADC
1FADF	1FAE9
1FAF0	1FAF8
1FB00	1FB92
1FB94	1FBF9
20000	2A6DF
2A700	2B739
2B740	2B81D
2B820	2CEA1
2CEB0	2EBE0
2EBF0	2EE5D
2F800	2FA1D
30000	3134A
31350	323AF
E0001	E0001
E0020	E007F
E0100	E01EF
F0000	FFFFD
100000	10FFFD
